Date,D0,Value
1989-07,4J,5.153
1989-07,5J,5.122999999999999
1989-07,6J,5.125
1989-07,7J,5.136
1989-07,8J,5.15
1989-07,9J,5.162000000000001
1989-07,10J,5.172999999999999
1989-07,20J,5.226
1989-07,30J,
1989-08,1J,7.07
1989-08,2J,6.145
1989-08,3J,5.567
1989-08,4J,5.297000000000001
1989-08,5J,5.19
1989-08,6J,5.159
1989-08,7J,5.1579999999999995
1989-08,8J,5.167999999999999
1989-08,9J,5.182
1989-08,10J,5.195
1989-08,20J,5.265
1989-08,30J,
1989-09,1J,7.606
1989-09,2J,6.648
1989-09,3J,5.979
1989-09,4J,5.625
1989-09,5J,5.4510000000000005
1989-09,6J,5.37
1989-09,7J,5.332000000000001
1989-09,8J,5.317
1989-09,9J,5.312
1989-09,10J,5.311
1989-09,20J,5.331
1989-09,30J,
1989-10,1J,7.534
1989-10,2J,6.571000000000001
1989-10,3J,6.029
1989-10,4J,5.742999999999999
1989-10,5J,5.581
1989-10,6J,5.482
1989-10,7J,5.417000000000001
1989-10,8J,5.371
1989-10,9J,5.337000000000001
1989-10,10J,5.31
1989-10,20J,5.195
1989-10,30J,
1989-11,1J,7.456
1989-11,2J,6.45
1989-11,3J,5.92
1989-11,4J,5.689
1989-11,5J,5.582000000000001
1989-11,6J,5.526
1989-11,7J,5.4910000000000005
1989-11,8J,5.468
1989-11,9J,5.45
1989-11,10J,5.437
1989-11,20J,5.376
1989-11,30J,
1989-12,1J,8.068999999999999
1989-12,2J,6.736000000000001
1989-12,3J,6.127999999999999
1989-12,4J,5.875
1989-12,5J,5.763999999999999
1989-12,6J,5.707000000000001
1989-12,7J,5.672999999999999
1989-12,8J,5.649
1989-12,9J,5.632000000000001
1989-12,10J,5.617999999999999
1989-12,20J,5.556
1989-12,30J,
1990-01,1J,9.093
1990-01,2J,7.649
1990-01,3J,6.841
1990-01,4J,6.456
1990-01,5J,6.269
1990-01,6J,6.172000000000001
1990-01,7J,6.117000000000001
1990-01,8J,6.082000000000001
1990-01,9J,6.058
1990-01,10J,6.04
1990-01,20J,5.9670000000000005
1990-01,30J,
1990-02,1J,8.788
1990-02,2J,7.785
1990-02,3J,7.236000000000001
1990-02,4J,6.917999999999999
1990-02,5J,6.7139999999999995
1990-02,6J,6.575
1990-02,7J,6.474
1990-02,8J,6.398
1990-02,9J,6.3389999999999995
1990-02,10J,6.292000000000001
1990-02,20J,6.079
1990-02,30J,
1990-03,1J,8.683
1990-03,2J,7.734
1990-03,3J,7.162999999999999
1990-03,4J,6.871
1990-03,5J,6.7170000000000005
1990-03,6J,6.627000000000001
1990-03,7J,6.57
1990-03,8J,6.529
1990-03,9J,6.499
1990-03,10J,6.475
1990-03,20J,6.37
1990-03,30J,
1990-04,1J,8.971
1990-04,2J,7.831
1990-04,3J,7.182
1990-04,4J,6.881
1990-04,5J,6.745
1990-04,6J,6.683
1990-04,7J,6.655
1990-04,8J,6.641
1990-04,9J,6.632999999999999
1990-04,10J,6.629
1990-04,20J,6.619
1990-04,30J,
1990-05,1J,8.014
1990-05,2J,6.922999999999999
1990-05,3J,6.531000000000001
1990-05,4J,6.402
1990-05,5J,6.355
1990-05,6J,6.332999999999999
1990-05,7J,6.321000000000001
1990-05,8J,6.312
1990-05,9J,6.305
1990-05,10J,6.3
1990-05,20J,6.277
1990-05,30J,
1990-06,1J,8.123
1990-06,2J,6.9879999999999995
1990-06,3J,6.507999999999999
1990-06,4J,6.3229999999999995
1990-06,5J,6.246
1990-06,6J,6.207999999999999
1990-06,7J,6.184
1990-06,8J,6.167999999999999
1990-06,9J,6.156000000000001
1990-06,10J,6.147
1990-06,20J,6.105
1990-06,30J,
1990-07,1J,8.263
1990-07,2J,6.931
1990-07,3J,6.347
1990-07,4J,6.143
1990-07,5J,6.08
1990-07,6J,6.065
1990-07,7J,6.065
1990-07,8J,6.069
1990-07,9J,6.074
1990-07,10J,6.077999999999999
1990-07,20J,6.1
1990-07,30J,
1990-08,1J,8.321
1990-08,2J,7.38
1990-08,3J,6.885
1990-08,4J,6.665
1990-08,5J,6.566
1990-08,6J,6.52
1990-08,7J,6.5
1990-08,8J,6.49
1990-08,9J,6.486000000000001
1990-08,10J,6.484
1990-08,20J,6.484
1990-08,30J,
1990-09,1J,7.952000000000001
1990-09,2J,7.071000000000001
1990-09,3J,6.7170000000000005
1990-09,4J,6.598
1990-09,5J,6.555
1990-09,6J,6.5360000000000005
1990-09,7J,6.525
1990-09,8J,6.518
1990-09,9J,6.513
1990-09,10J,6.5089999999999995
1990-09,20J,6.4910000000000005
1990-09,30J,
1990-10,1J,7.796
1990-10,2J,6.983
1990-10,3J,6.695
1990-10,4J,6.595
1990-10,5J,6.553
1990-10,6J,6.531000000000001
1990-10,7J,6.516
1990-10,8J,6.506
1990-10,9J,6.497999999999999
1990-10,10J,6.4910000000000005
1990-10,20J,6.462999999999999
1990-10,30J,
1990-11,1J,8.36
1990-11,2J,7.3629999999999995
1990-11,3J,6.922999999999999
1990-11,4J,6.752999999999999
1990-11,5J,6.6770000000000005
1990-11,6J,6.635
1990-11,7J,6.609
1990-11,8J,6.5889999999999995
1990-11,9J,6.574
1990-11,10J,6.563
1990-11,20J,6.51
1990-11,30J,
1990-12,1J,8.152000000000001
1990-12,2J,7.358
1990-12,3J,6.9270000000000005
1990-12,4J,6.728
1990-12,5J,6.643
1990-12,6J,6.609
1990-12,7J,6.598
1990-12,8J,6.596
1990-12,9J,6.598
1990-12,10J,6.601
1990-12,20J,6.622999999999999
1990-12,30J,
1991-01,1J,7.755
1991-01,2J,6.952000000000001
1991-01,3J,6.574
1991-01,4J,6.44
1991-01,5J,6.402
1991-01,6J,6.395
1991-01,7J,6.399
1991-01,8J,6.404
1991-01,9J,6.41
1991-01,10J,6.415
1991-01,20J,6.438
1991-01,30J,
1991-02,1J,7.66
1991-02,2J,6.925
1991-02,3J,6.534
1991-02,4J,6.352
1991-02,5J,6.271
1991-02,6J,6.236000000000001
1991-02,7J,6.223
1991-02,8J,6.218999999999999
1991-02,9J,6.218999999999999
1991-02,10J,6.221
1991-02,20J,6.237
1991-02,30J,
1991-03,1J,7.629
1991-03,2J,6.702000000000001
1991-03,3J,6.355
1991-03,4J,6.231
1991-03,5J,6.185
1991-03,6J,6.167000000000001
1991-03,7J,6.16
1991-03,8J,6.157
1991-03,9J,6.156000000000001
1991-03,10J,6.155
1991-03,20J,6.152
1991-03,30J,
1991-04,1J,7.81
1991-04,2J,6.851
1991-04,3J,6.4239999999999995
1991-04,4J,6.237
1991-04,5J,6.146
1991-04,6J,6.096
1991-04,7J,6.065
1991-04,8J,6.044
1991-04,9J,6.028
1991-04,10J,6.016
1991-04,20J,5.961
1991-04,30J,
1991-05,1J,7.544
1991-05,2J,6.61
1991-05,3J,6.129
1991-05,4J,5.925
1991-05,5J,5.843999999999999
1991-05,6J,5.814
1991-05,7J,5.806
1991-05,8J,5.806
1991-05,9J,5.809
1991-05,10J,5.813
1991-05,20J,5.837999999999999
1991-05,30J,
1991-06,1J,7.644
1991-06,2J,6.752999999999999
1991-06,3J,6.25
1991-06,4J,6.039
1991-06,5J,5.9639999999999995
1991-06,6J,5.945
1991-06,7J,5.946000000000001
1991-06,8J,5.954
1991-06,9J,5.962999999999999
1991-06,10J,5.971
1991-06,20J,6.015
1991-06,30J,
1991-07,1J,7.4510000000000005
1991-07,2J,6.695
1991-07,3J,6.36
1991-07,4J,6.204
1991-07,5J,6.122999999999999
1991-07,6J,6.0760000000000005
1991-07,7J,6.045
1991-07,8J,6.024
1991-07,9J,6.007999999999999
1991-07,10J,5.996
1991-07,20J,5.941
1991-07,30J,
1991-08,1J,7.501
1991-08,2J,6.775
1991-08,3J,6.462999999999999
1991-08,4J,6.324
1991-08,5J,6.247999999999999
1991-08,6J,6.2
1991-08,7J,6.167000000000001
1991-08,8J,6.142
